   60
HE+ 0/H + 1  24/P=4.000D+00/S=1.000D+00/A=4.731D+00/E=0.000D+00/T=CX /ISEL=    1
 5.000D+02 7.000D+02 1.000D+03 1.500D+03 2.000D+03 3.000D+03
 4.000D+03 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04
 3.000D+04 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05
 2.000D+05 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06
 8.750D-17 9.900D-17 1.120D-16 1.280D-16 1.390D-16 1.520D-16
 1.570D-16 1.570D-16 1.530D-16 1.450D-16 1.310D-16 1.180D-16
 9.750D-17 8.200D-17 7.000D-17 5.350D-17 3.800D-17 2.400D-17
 1.530D-17 6.250D-18 2.450D-18 1.000D-18 3.050D-19 8.400D-20
HE+ 0/O + 8  24/P=4.000D+00/S=1.600D+01/A=3.789D+00/E=0.000D+00/T=CX /ISEL=   23
 5.000D+02 7.000D+02 1.000D+03 1.500D+03 2.000D+03 3.000D+03
 4.000D+03 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04
 3.000D+04 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05
 2.000D+05 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06
 7.900D-17 8.950D-17 1.020D-16 1.170D-16 1.270D-16 1.370D-16
 1.405D-16 1.410D-16 1.405D-16 1.370D-16 1.290D-16 1.205D-16
 1.040D-16 9.150D-17 8.100D-17 6.500D-17 4.950D-17 3.400D-17
 2.450D-17 1.300D-17 6.600D-18 3.250D-18 8.500D-19 2.200D-19  
HE+ 0/H + 1  24/P=4.000D+00/S=1.000D+00/A=0.803D+00/E=2.458D+01/T=ION/ISEL=   24
 1.000D+03 1.500D+03 2.000D+03 3.000D+03 4.000D+03 5.000D+03
 7.000D+03 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04
 5.000D+04 7.000D+04 1.000D+05 1.500D+05 2.000D+05 3.000D+05
 4.000D+05 5.000D+05 7.000D+05 1.000D+06 1.500D+06 2.000D+06
 4.400D-20 1.040D-19 1.930D-19 4.680D-19 8.700D-19 1.400D-18
 3.100D-18 6.400D-18 1.400D-17 2.320D-17 4.180D-17 5.610D-17
 6.700D-17 8.000D-17 8.450D-17 7.800D-17 6.800D-17 5.350D-17
 4.400D-17 3.750D-17 2.900D-17 2.210D-17 1.600D-17 1.270D-17 
HE+ 0/H + 1  24/P=4.000D+00/S=1.000D+00/A=0.803D+00/E=2.458D+01/T=ION/ISEL=   25
 1.000D+03 1.500D+03 2.000D+03 3.000D+03 4.000D+03 5.000D+03
 7.000D+03 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04
 5.000D+04 7.000D+04 1.000D+05 1.500D+05 2.000D+05 3.000D+05
 4.000D+05 5.000D+05 7.000D+05 1.000D+06 1.500D+06 2.000D+06
 1.720D-19 3.250D-19 5.210D-19 1.050D-18 1.720D-18 2.500D-18
 4.550D-18 8.400D-18 1.610D-17 2.550D-17 4.600D-17 6.150D-17
 7.300D-17 8.350D-17 8.500D-17 7.800D-17 6.800D-17 5.350D-17
 4.400D-17 3.750D-17 2.900D-17 2.210D-17 1.600D-17 1.270D-17  
HE+ 0/H + 1  17/P=4.000D+00/S=1.000D+00/A=0.809D+00/E=2.458D+01/T=ION/ISEL=   26
 6.400D+04 8.000D+04 1.000D+05 1.300D+05 1.600D+05 2.000D+05
 2.600D+05 3.200D+05 4.000D+05 5.000D+05 6.400D+05 8.000D+05
 1.000D+06 1.280D+06 1.600D+06 2.000D+06 2.380D+06 
 7.500D-17 8.320D-17 8.430D-17 8.090D-17 7.570D-17 6.930D-17
 5.870D-17 5.160D-17 4.410D-17 3.700D-17 3.140D-17 2.670D-17
 2.260D-17 1.860D-17 1.590D-17 1.300D-17 1.130D-17 
HE+ 0/H + 1  24/P=4.000D+00/S=1.000D+00/A=0.803D+00/E=4.767D+00/T=ION/ISEL=   27
 1.000D+03 1.500D+03 2.000D+03 3.000D+03 4.000D+03 5.000D+03
 7.000D+03 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04
 5.000D+04 7.000D+04 1.000D+05 1.500D+05 2.000D+05 3.000D+05
 4.000D+05 5.000D+05 7.000D+05 1.000D+06 1.500D+06 2.000D+06
 6.159D-17 1.101D-16 1.506D-16 2.158D-16 2.683D-16 3.131D-16
 3.882D-16 4.798D-16 5.508D-16 4.621D-16 3.273D-16 2.506D-16
 2.026D-16 1.463D-16 1.031D-16 6.912D-17 5.197D-17 3.473D-17
 2.608D-17 2.088D-17 1.492D-17 1.045D-17 6.971D-18 5.229D-18
HE+ 0/HE+ 2  20/P=4.000D+00/S=4.000D+00/A=0.750D+00/E=2.458D+01/T=ION/ISEL=   28
 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04 3.000D+04
 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05 2.000D+05
 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06 1.500D+06
 2.000D+06 5.000D+06 
 6.000D-18 7.150D-18 8.600D-18 1.110D-17 1.360D-17 2.290D-17
 4.450D-17 7.350D-17 1.300D-16 1.850D-16 2.090D-16 2.020D-16
 1.780D-16 1.520D-16 1.310D-16 1.060D-16 8.300D-17 6.050D-17
 4.850D-17 2.440D-17 
HE+ 0/HE+ 2  20/P=4.000D+00/S=4.000D+00/A=0.750D+00/E=2.458D+01/T=ION/ISEL=   29
 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04 3.000D+04
 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05 2.000D+05
 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06 1.500D+06
 2.000D+06 5.000D+06 
 1.030D-18 1.900D-18 3.650D-18 7.750D-18 1.320D-17 2.800D-17
 4.750D-17 7.200D-17 1.310D-16 1.850D-16 2.090D-16 2.020D-16
 1.780D-16 1.520D-16 1.310D-16 1.060D-16 8.300D-17 6.050D-17
 4.850D-17 2.440D-17 
HE+ 0/HE+ 2  24/P=4.000D+00/S=4.000D+00/A=0.750D+00/E=4.767D+00/T=ION/ISEL=   30
 1.000D+03 1.500D+03 2.000D+03 3.000D+03 4.000D+03 5.000D+03
 7.000D+03 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04
 5.000D+04 7.000D+04 1.000D+05 1.500D+05 2.000D+05 3.000D+05
 4.000D+05 5.000D+05 7.000D+05 1.000D+06 1.500D+06 2.000D+06
 2.464D-16 4.406D-16 6.024D-16 8.632D-16 1.073D-15 1.252D-15
